text,label,spacy_label
"injection of anesthetic agent, trigeminal nerve bundle",nerve injection,trigeminal nerve
repair of herniated rectum into vaginal wall,,rectum
"creation of skin, fat and muscle graft",,skin fat muscle graft
"measurement and recording of brain wave (eeg) activity, overnight",brain,brain
"injection, fluphenazine decanoate, up to 25 mg",,fluphenazine decanoate
removal of tissue from sphenoid sinus using an endoscope,,tissue sphenoid sinus
removal of pituitary gland tumor using an endoscope,tumor,pituitary gland
partial removal of breast and underarm lymph nodes,breast,breast
"insertion of assistive heart blood flow device into aorta, accessed through the skin",heart,heart blood aorta skin
repair of herniated rectum,,rectum
destruction of vaginal growths,,vaginal
correction of widely-opened upper eyelid,,
reconstruction of up to two-thirds of the eyelid by transfer of opposite eyelid tissue,,eyelid eyelid tissue
removal of tear sac of the eye,eye,sac eye
release of ligaments at outer aspect of knee joint using an endoscope,knee,outer
mri of both breasts,mri,
"x-ray of spine, 4 or 5 views",,spine
bacterial culture and colony count,,
partial removal of nasal sinus,nasal,nasal sinus
removal of multiple growths of same eyelid,,eyelid
"health and behavior intervention, group each 15 minutes",,
removal of infected graft of arm or leg,,graft
repair of dialysis access in arm,,
"x-ray of sacroiliac joints, less than 3 views",,sacroiliac joints
needle biopsy of lung using an endoscope,needle biopsy,lung
methemoglobin (hemoglobin) analysis,,methemoglobin hemoglobin
radiological supervision and interpretation of imaging of spinal artery,artery,spinal artery
injection of drug into nasal air passages,nasal injection,nasal
"removal of blood clot from dialysis graft, open procedure",,blood clot graft
"removal of foreskin, patient older than 28 days of age",,foreskin patient
radiological supervision and interpretation of dilation of urinary ducts (ureters) or bladder canal (urethra),bladder,urinary ducts ureters bladder canal urethra
fusion of foot joint,foot,
destruction of vascular growth between retina and sclera,,vascular retina sclera
injection into conjunctiva,injection,
nuclear medicine study of blood,,nuclear blood
repair of hip joint capsule,,
repair of dislocating knee cap,knee,
diagnostic examination of knee using an endoscope,knee,
manual muscle testing of hand,,muscle
removal of blood accumulation between nail and nail bed,,blood nail
"release of ligaments of knee joint, open procedure",knee,
relocation of muscle of shoulder or upper arm,shoulder,muscle upper
incision of shoulder tendons,incision shoulder,shoulder tendons
"removal of plaque of major coronary artery or branch, accessed through the skin",artery coronary,coronary artery skin
radiological supervision and interpretation of imaging of previous placed shunt,,
insertion of stabilizing or separating device into lower spine at second level,spine,
needle measurement and recording electrical activity of muscles including jitter blocking and/or fiber density using single electrode,needle,fiber
incision of shoulder tendon,incision shoulder tendon,
bleeding time,bleeding,
"infectious agent antibody detection by rapid antibody test, hiv-1 and/or hiv-2, screening",,
monitoring and recording of gastroesophageal reflux through nose including analysis and interpretation,,gastroesophageal
needle measurement and recording of movement and/or feeling of arm or leg with interpretation and report,needle,leg
fine needle aspiration of additional lesion,needle,fine needle
drainage of abscess or blood collection at lower leg or ankle,,blood lower leg
drainage of multiple fluid-filled sacs (bursa) of foot,foot,bursa
radiological supervision and interpretation of imaging of artery of pelvis,artery pelvis,artery pelvis
nuclear medicine study of radioactive material distribution at multiple tumor locations,tumor,nuclear tumor
radioactive material therapy into artery,artery,
removal of total lymph nodes of both sides of pelvis and abdominal lymph node biopsy using an endoscope,abdominal biopsy pelvis,lymph nodes pelvis lymph node
partial removal of external female genitals,,
removal or destruction of cervix,,cervix
removal of ovaries and/or tubes using an endoscope,,ovaries
"removal of bones at second, third, or fourth toe joints",,bones
removal of foot bone at fifth toe joint,foot,bone
release and/or relocation ulnar nerve at wrist,nerve,ulnar nerve
"injection, clonidine hydrochloride, 1 mg",,clonidine hydrochloride
"high intensity behavioral counseling to prevent sexually transmitted infection; face-to-face, individual, includes: education, skills training and guidance on how to change sexual behavior; performed semi-annually, 30 minutes",,
removal of lower jaw bone,,
removal of facial bones,,facial bones
removal or scraping of upper jaw or cheek bone growth or cyst,,upper jaw
removal and/or scraping of lower jaw bone growth or cyst,,bone
impression and custom preparation of temporary oral prosthesis,,oral
"injection, chorionic gonadotropin, per 1,000 usp units",,chorionic gonadotropin usp
blood glucose (sugar) level after receiving dose of glucose,,blood glucose sugar glucose
anesthesia for open revision of total hip joint replacement,anesthesia,joint
insertion of catheters into main and accessory arteries of one kidney for imaging including radiological supervision and interpretation,,catheters arteries kidney
"removal of blood clot and injections to dissolve blood clot from artery or arterial graft using fluoroscopic guidance, accessed through the skin",artery,blood clot blood clot arterial graft skin
insertion of catheter into artery for drug infusion for blood clot including radiological supervision and interpretation,artery catheter,artery blood clot
insertion of catheter into vein for drug infusion for blood clot including radiological supervision and interpretation,catheter,blood clot
removal of catheter in artery or vein including radiological supervision and interpretation,artery catheter,artery vein
"development testing, with interpretation and report, per standardized instrument form",,
repair of ruptured achilles tendon,tendon,
transplant of deep tendon with muscle rerouting at lower leg or ankle,tendon,tendon muscle lower leg
incision of tissues of muscle compartment of foot and/or toe,incision foot,tissues muscle compartment foot
release of nerve between tissue and bone of foot,foot nerve,nerve tissue bone
incision to repair heel bone,incision,
incision to correct foot or ankle bones with patient-derived bone graft,incision foot,bones patient-derived bone graft
release of unspecified nerve,nerve,
"biopsy or removal of lymph nodes, open procedure",biopsy,lymph nodes
ct scan guidance for and monitoring of tissue destruction,ct,tissue
anesthesia for closed procedure on hip joint,anesthesia,joint
open treatment of broken and/or dislocated middle spine bones,spine,spine bones
open treatment of broken and/or dislocated spine bones,spine,spine bones
drug infusion or exercise for heart stimulation during diagnostic study,heart,heart
abdominal ultrasound of pregnant uterus single or first fetus,abdominal ultrasound uterus,uterus
"single energy x-ray absorptiometry (sexa) bone density study, one or more sites; appendicular skeleton (peripheral) (e.g., radius, wrist, heel)",,bone appendicular skeleton peripheral
"iliac and/or femoral artery angiography, non-selective, bilateral or ipsilateral to catheter insertion, performed at the same time as cardiac catheterization and/or coronary angiography, includes positioning or placement of the catheter in the distal aorta",artery catheter coronary catheterization femoral distal,iliac femoral artery ipsilateral cardiac coronary
"home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels",,hst
"injection, calcium gluconate, per 10 ml",,calcium gluconate
measurement of blood flow in heart muscle at rest and under stress,heart,blood heart muscle
nuclear medicine study of cardiovascular systems,,nuclear cardiovascular
"catheter based closure of congenital heart defect with implant, accessed through the skin",catheter heart,heart skin
insertion of catheter into vein with collection of blood sample,catheter,vein blood
"respiratory inhaled aerosol treatment to relieve airway obstruction, first hour",respiratory,airway
"nitrogen n-13 ammonia, diagnostic, per study dose, up to 40 millicuries",,nitrogen n-13
range of motion testing of hand,,
"cast supplies, long leg cast, adult (11 years +), fiberglass",,leg
biopsy of growths in one lung using an endoscope,biopsy,lung
repair of paraesophageal hernia,hernia,paraesophageal
injection of chemical agent into single incompetent vein,injection,
control of bleeding beyond second portion of small bowel using an endoscope,bleeding,bowel
liver procedure using an endoscope,,liver
repositioning of trapped groin hernia,hernia,groin
"exposure of one thigh artery for insertion of prosthesis, open procedure",artery,thigh artery
creation of flap graft to midface,,flap graft
"creation of flap graft to nose, forehead, temple, or scalp",,flap graft temple scalp
removal of kidney and lymph nodes using an endoscope,,kidney lymph nodes
reconstruction of lower eyelid by transfer of eyelid tissue from opposite eyelid,,eyelid tissue eyelid
reconstruction of upper eyelid by transfer of eyelid tissue from opposite eyelid,,upper eyelid eyelid tissue eyelid
"nuclear medicine study of heart function wall motion at rest and stress with evaluation of blood ejection from heart, multiple studies",heart,nuclear heart wall blood heart
nuclear medicine study heart muscle at rest or stress single study,heart,nuclear heart muscle
"incision of abscess, cyst, or blood accumulation in mouth",incision,blood
removal of growth of dental bone with repair,,bone
anesthesia for open or endoscopic procedure on elbow,anesthesia,
removal of foreign body of foot tissue,foot,foot tissue
nuclear medicine study of digestive tract,,nuclear digestive tract
lengthening of esophagus using an endoscope,esophagus,esophagus
nuclear medicine study with measurement of blood circulation in the lungs and ventilation,,nuclear blood lungs
removal or repair of collar bone and shoulder blade joint,shoulder,collar bone
transplantation of patient's bone marrow or blood-derived stem cells,,patient bone marrow blood-derived stem cells
repositioning of breast on chest,chest breast,breast
"x-ray of middle spine, minimum of 4 views",,
"crushing, fragmenting, and removal of bladder stones, complicated or larger than 2.5 centimeters",bladder,bladder stones
repair of iris and lens tissue,,iris lens tissue
"high osmolar contrast material, up to 149 mg/ml iodine concentration, per ml",contrast,osmolar iodine
"implantation of peripheral nerve neurostimulator electrodes, accessed through the skin",nerve,peripheral nerve skin
preparation of corneal tissue for transplant,,corneal tissue
ct scan,ct,
nuclear medicine whole body study for thyroid cancer,,nuclear thyroid cancer
nuclear medicine study for thyroid cancer,,nuclear thyroid cancer
"iodine i-123 sodium iodide, diagnostic, per millicurie",,iodine i-123 sodium iodide
"injection, thyrotropin alpha, 0.9 mg, provided in 1.1 mg vial",,thyrotropin alpha
"high osmolar contrast material, 350-399 mg/ml iodine concentration, per ml",contrast,osmolar iodine
release of scar tissue at urinary duct (ureter),,scar tissue urinary duct
relocation of defibrillator device skin pocket,,skin
insertion of indwelling catheter and administration of substance into spinal canal of lower back lower back using imaging guidance,catheter,spinal canal
ultrasound guided fine needle aspiration or biopsy of esophagus using an endoscope,needle biopsy ultrasound esophagus,fine needle biopsy esophagus
"fusion of lower spine bones with removal of disc, lateral approach",spine,spine bones lateral
radioactive material therapy into vein,,
"radium ra-223 dichloride, therapeutic, per microcurie",,dichloride
nuclear medicine imaging whole body,,nuclear
insertion of tissue expander in breast,breast,tissue expander
insertion of indwelling catheter and administration of substance into spinal canal of upper or middle back using imaging guidance,catheter,spinal canal
ketone bodies analysis,,
"ascorbic acid (vitamin c) level, blood",,ascorbic acid vitamin c blood
bile acids level,,bile acids
mass spectrometry (laboratory testing method),mass,
blood osmolality (concentration) measurement,,blood osmolality
urine osmolality (concentration) measurement,,urine osmolality
"phosphatase, prostatic (prostate enzyme) level",,prostatic prostate
syphilis test,,
analysis for antibody to enterovirus (gastrointestinal virus),,enterovirus gastrointestinal
analysis for antibody to epstein-barr virus (mononucleosis virus),,epstein-barr virus
analysis for antibody to legionella (waterborne bacteria),,
analysis for antibody to mumps virus,,
analysis for antibody to rubella (german measles virus),,
removal of growth of tongue and/or vocal cord stripping using an endoscope,,tongue cord
injection of vocal cords using an endoscope,injection,
"evaluation and insertion of catheters for recording, pacing, and attempted induction of abnormal heart rhythm",heart,catheters heart
"injection, mepivacaine hydrochloride, per 10 ml",,mepivacaine hydrochloride
"occlusion of artery (other than hemorrhage or tumor) with radiological supervision and interpretation, roadmapping, and imaging guidance",artery,artery tumor
removal of thymus gland through neck incision,incision neck,thymus gland
"removal or crushing kidney stone (up to 2 centimeters) or insert kidney stent using an endoscope, accessed through the skin",,kidney skin
closure of large or small bowel opening with bowel removal and reattachment,,bowel bowel
removal of rectal muscle growth,,rectal muscle
injection of agent to paralyze anal muscle,injection,paralyze anal muscle
anesthesia for procedure on upper front abdominal wall,abdominal anesthesia,upper
nasal cartilage graft,nasal,nasal cartilage graft
widening of nasal passage,nasal,nasal
"analysis of data from ct study of heart blood vessels to assess severity of heart artery disease, with interpretation and report",artery ct heart,heart blood vessels heart artery
"removal of foreign material from skin, tissue, muscle, and bone at open fracture and/or dislocation",fracture,material skin tissue muscle bone
lengthening or shortening of tendon of forearm and/or wrist,tendon,tendon forearm
imaging procedure,,
dilation of the bladder using an endoscope under general or spinal anesthesia,bladder anesthesia,bladder spinal
imaging of jaws and skull for orthodontic purposes,,jaws skull
biopsy of salivary gland,biopsy,salivary gland
incision of spine to correct deformity at upper spinal column,incision spine,spine upper spinal
removal of excessive skin of upper eyelid,,skin upper eyelid
removal or relocation of corneal conjunctiva,,corneal conjunctiva
transplantation of tissue from one cornea to other cornea,,tissue cornea cornea
removal of scar tissue in eye,eye,scar tissue eye
removal of implanted lens in eye,eye,lens eye
revision of shunt to improve eye fluid flow,eye,eye fluid
revision of eye fluid drainage shunt with graft,eye,eye fluid graft
removal of lens material,,lens material
insertion of lens prosthesis,,lens
realignment of the eye with repair of two horizontal eye muscles,eye,eye eye
restoration of eyelid blinking function,,eyelid
incision of pelvic bone,incision,pelvic bone
removal of knee cap,knee,
"face-to-face educational services related to the care of chronic kidney disease; individual, per session, per one hour",,kidney
diagnostic hearing loss test,,
tying or biopsy of temporal artery (side of skull),artery biopsy,biopsy artery skull
androstenedione (hormone) level,,androstenedione
screening test for unstable hemoglobin,,hemoglobin
mri of heart,mri heart,heart
hydroxyproline (amino acid) measurement,,amino acid
removal of entire shoulder joint lining using an endoscope,shoulder,joint
release or removal of shoulder scar tissue using an endoscope,shoulder,scar tissue
placement of electrical bone healing device,,bone
biopsy of external female genitals,biopsy,
g6pd (enzyme) screening test,,g6pd
removal of hip joint lining using an endoscope,,joint
"injection of anesthetic agent, of rib nerve",nerve injection,rib nerve
injections of local anesthetic for pain control and abdominal wall analgesia on one side,abdominal,wall
x-ray of voice box and/or esophagus,esophagus,esophagus
injection of drug into one side of voice box using a flexible endoscope,injection,
"gene analysis (cytochrome p450 family 1, subfamily a, member 2) for common variants",,cytochrome p450
gene analysis (catechol-o-methyltransferase) for c.472g>a (rs4680) variant,,catechol-o-methyltransferase
gene analysis (breast cancer 1 and 2) of full sequence and analysis for duplication or deletion variants,,breast cancer 1
gene analysis (breast cancer 1 and 2) of full sequence,,breast cancer 1
"gene analysis (adenomatous polyposis coli), full gene sequence",,adenomatous polyposis coli
"gene analysis (fanconi anemia, complementation group c) common variant",,
"gene analysis (v-kit hardy-zuckerman 4 feline sarcoma viral oncogene homolog), targeted sequence",,v-kit hardy-zuckerman 4
"gene analysis (mutl homolog 1, colon cancer, nonpolyposis type 2) full sequence analysis",,mutl homolog 1 colon cancer
"gene analysis (muts homolog 2, colon cancer, nonpolyposis type 1) full sequence analysis",,colon cancer
"gene analysis (muts homolog 2, colon cancer, nonpolyposis type 1) duplication or deletion variants",,colon cancer
gene analysis (muts homolog 6 [e coli]) full sequence analysis,,e coli
"gene analysis (phosphatase and tensin homolog), full sequence analysis",,tensin homolog
molecular pathology procedure level 1,,
"release of major nerve of arm or leg, open procedure",nerve,nerve leg
collection of stem cells for transplantation,,stem cells
dressing change under anesthesia,anesthesia,
"nushield, per square centimeter",,
"puraply am, per square centimeter",,
pelvis or hip joint procedure,pelvis,joint
"face-to-face educational services related to the care of chronic kidney disease; group, per session, per one hour",,kidney
"alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention, 5-14 minutes",,alcohol 5-14
anchoring of tendon of fingers to wrist bone,tendon,
insertion of temporary pacemaker electrode for diagnostic upper heart pacing,heart,heart
insertion of temporary pacemaker electrode for diagnostic lower heart pacing,heart,heart
"removal of growth (0.5 centimeters or less) of the trunk, arms or legs",,trunk legs
"high osmolar contrast material, 200-249 mg/ml iodine concentration, per ml",contrast,osmolar iodine
removal of bone at base of toe,,bone
removal of stomach reduction device and port beneath the skin using an endoscope,stomach,stomach skin
"brief face-to-face behavioral counseling for alcohol misuse, 15 minutes",,alcohol
repair of diseased or bulging (aneurysm) artery of arm,artery,
"injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",,ampicillin sodium/sulbactam sodium
removal of tendon of finger,tendon,
repositioning of sliding groin hernia,hernia,groin hernia
injection of veins in rectum,injection,veins rectum
incision of engorged external hemorrhoid,incision,
repair of anal tear with dilation of anal muscle,,anal tear anal muscle
removal of dead or infected ankle joint tissue using an endoscope,,joint tissue
aspiration of breast cyst,breast,breast cyst
partial removal of toe joint,,
application of heat wave therapy to 1 or more areas,,heat wave
incision of tear duct using an endoscope,incision,
repair of blood vessel of leg,,blood vessel
radiological supervision and interpretation x-ray of chest aorta,chest,chest aorta
inhalation of medications with allergic reaction analysis,,
"methacholine chloride administered as inhalation solution through a nebulizer, per 1 mg",,methacholine chloride
removal of fluid accumulation in one testicle and sperm reservoir,,fluid testicle sperm
insertion of needles or catheters into prostate for radiation therapy,prostate,prostate
"application of radiation source, complex",,
"brachytherapy source, stranded, cesium-131, per source",,
"brachytherapy source, non-stranded, cesium-131, per source",,
removal of spermatic cord growth,,spermatic cord
implantation of brain neurostimulator electrodes microelectrode recording,brain,brain
transplant of both lungs,,lungs
biopsies of large bowel using an endoscope which is inserted through abdominal opening,abdominal biopsies,bowel abdominal
tissue culture for tumor disorders of bone marrow and blood cells,tumor,tissue tumor bone marrow blood cells
blood vessel procedure using an endoscope,,blood vessel
excision of skull base for exploration or release of cranial nerves,excision,skull cranial nerves
biopsy of anus using an endoscope,biopsy,biopsy anus
anesthesia for repair or removal of vagina and urinary procedure,anesthesia,vagina urinary
"hyperbaric oxygen under pressure, full body chamber, per 30 minute interval",,hyperbaric oxygen
ultrasound guidance for repair of blood vessel,ultrasound,blood vessel
partial removal of thyroid lobe on one side of the neck,neck,thyroid lobe
nuclear medicine study of radioactive material distribution at tumor location,tumor,nuclear tumor
"cast supplies, short arm splint, adult (11 years +), plaster",,
radiological supervision and interpretation of placement of catheter with drainage (accessed through the skin) procedure,catheter,skin
"biopsy of spine bone at upper or lower spinal column, open procedure",biopsy spine,spine bone
biopsy of tissue of back or flank,biopsy,tissue flank
incision of spine to correct deformity at middle spinal column,incision spine,spine
"fusion of middle spine bones, posterior or posterolateral approach",spine,spine bones
ultrasound of bone density measurement,ultrasound,bone
mechanical separation of red blood cells from blood,,blood cells
insertion of indwelling catheter and administration of substance into spinal canal of lower back,catheter,spinal canal
"microscopic examination of esophagus, stomach, and/or upper small bowel using an endoscope",,esophagus stomach upper bowel
laser treatment of heart muscle to improve blood flow during open procedure,heart,heart muscle blood
procedure on abdomen using an endoscope,abdomen,abdomen
d&c for diagnosis and/or therapy (non-obstetrical),,
suture closure of the vagina and vaginal opening,,vagina vaginal
revision and replacement of spinal neurostimulator electrodes,,spinal
anesthesia for procedure on middle spine and spinal cord,anesthesia spine,spine spinal cord
"injection, lanreotide, 1 mg",,lanreotide
muscle flap wound repair of leg,,muscle leg
"gene analysis (abl proto-oncogene 1, non-receptor tyrosine kinase)",,abl proto-oncogene 1 non-receptor tyrosine kinase
gene analysis (v-raf murine sarcoma viral oncogene homolog b1),,v-raf
"gene analysis (ccaat/enhancer binding protein [c/ebp], alpha) full gene sequence",,ccaat/enhancer binding protein c/ebp
gene rearrangement analysis (immunoglobulin heavy chain locus) to detect abnormal clonal population amplified methodology,,immunoglobulin heavy clonal
gene rearrangement analysis (immunoglobulin kappa light chain locus) to detect abnormal clonal population,,immunoglobulin kappa light clonal
"gene analysis (kirsten rat sarcoma viral oncogene homolog), additional variants",,
test for detecting genes associated with colon cancer,,colon cancer
test for detecting genes associated with prostate cancer,prostate,prostate cancer
"gene analysis ((platelet-derived growth factor receptor, alpha polypeptide) targeted sequence",,platelet-derived growth factor receptor alpha polypeptide
translocation analysis (pml-rara regulated adaptor molecule 1) common breakpoint,,
gene analysis (t cell antigen receptor beta) amplification methodology,,
gene rearrangement analysis detection abnormal clonal population (t cell antigen receptor gamma),,clonal
white blood cell alkaline phosphatase (enzyme) measurement with cell count,,blood cell alkaline phosphatase cell
red blood cell antibody detection test,,blood cell antibody
tissue culture to identify white blood cell disorders,,blood cell
"removal of tissue at thigh or knee region, open procedure",knee,tissue
incision of back portion of knee joint capsule,incision knee,knee joint capsule
"arthroscopy, knee, surgical, for removal of loose body, foreign body, debridement/shaving of articular cartilage (chondroplasty) at the time of other surgical knee arthroscopy in a different compartment of the same knee",knee,articular cartilage
"insertion of abdominal cavity catheter for drainage or dialysis, open procedure",catheter abdominal,abdominal cavity
anesthesia for procedure on upper spine and spinal cord,anesthesia spine,upper spine spinal cord
"noc drugs, other than inhalation drugs, administered through dme",,noc dme
reoperation of heart artery bypass or valve procedure more than 1 month after original operation,artery heart,heart artery
repair of bulging defect (aneurysm) of aorta,,
imaging of bone marrow whole body,,bone marrow
nuclear medicine study of heart muscle following heart attack,heart,nuclear heart muscle heart
"removal of fluid from chest cavity with insertion of indwelling catheter, accessed through the skin",chest,skin
removal of bladder neck through bladder canal (urethra),bladder neck,bladder bladder canal urethra
repair of prolapsed rectum,,rectum
"radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: 6-10 mev",,
"radiation therapy delivery, stereotactic radiosurgery (srs) for cranial growths, per session",,cranial
lymphedema assessment for extracellular fluid analysis,,extracellular fluid
biopsies of anus with magnification and chemical agent enhancement using an endoscope,biopsies,anus
infusion of chemical agent into the artery of brain with insertion of catheter and imaging,artery catheter brain,artery brain
detection test for cytomegalovirus (cmv),,cytomegalovirus cmv
detection test for enterovirus (intestinal virus),,intestinal
detection test for herpes virus-6,,herpes virus-6
detection test for mycobacteria tuberculosis (tb bacteria),,
insertion of lower heart chamber blood flow assist device,heart,heart blood
creation of shunt to improve eye fluid flow,eye,eye fluid
"proton treatment delivery, simple with compensation",,
"proton treatment delivery, intermediate",,
"proton treatment delivery, complex",,
irrigation and drainage of sinus,,
removal or shaving of knee joint cartilage using an endoscope,knee,
"telehealth consultation, critical care, subsequent, physicians typically spend 50 minutes communicating with the patient and providers via telehealth",,patient
"paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers",,
nuclear medicine study of lung ventilation,,nuclear lung
mri scan of bone marrow,mri,bone marrow
repositioning of stomach feeding tube,stomach tube,stomach
bacterial culture and colony count for anaerobic bacteria,,
primidone level,,primidone
screening test for presence of antibody,,
"infectious agent antibody detection by enzyme immunoassay (eia) technique, hiv-1 and/or hiv-2, screening",,
cyclosporine level,,cyclosporine
mycophenolate (mycophenolic acid) level,,mycophenolate mycophenolic acid
zonisamide level,,zonisamide
"gene rearrangement analysis (immunoglobulin heavy chain locus), variable region somatic mutation analysis",,immunoglobulin heavy
"hla class i typing, low resolution one antigen equivalent",,hla class i
ceruloplasmin (protein) level,,ceruloplasmin
urine chloride level,,urine chloride
blood glucose (sugar) tolerance test,,blood glucose sugar
vitamin b-2 (riboflavin) level,,vitamin b-2 riboflavin
analysis for antibody to candida (yeast),,
analysis for antibody to chlamydia (bacteria),,
analysis for antibody (igm) to chlamydia (bacteria),,igm
analysis for antibody to cytomegalovirus (cmv),,cytomegalovirus cmv
analysis for antibody (igm) to cytomegalovirus (cmv),,igm cytomegalovirus cmv
analysis for antibody to fungus,,
analysis for antibody to toxoplasma (parasite),,
assessment of antibodies to class i and class ii human leukocyte antigens (hla) antigens,,human leukocyte antigens
"assessment of antibody to human leukocyte antigens (hla) with high definition qualitative panel for identification of antibody specificities, hla class i",,human leukocyte antigens hla class
"assessment of antibody to human leukocyte antigens (hla) with high definition qualitative panel for identification of antibody specificities, hla class ii",,human leukocyte antigens hla class
screening test for red blood cell antibodies,,blood cell
mycoplasma culture,,
microbial identification,,
tissue preparation for culture,,tissue
tissue culture inoculation for virus isolation,,
"hiv antigen/antibody, combination assay, screening",,
"injection, cefepime hydrochloride, 500 mg",,cefepime hydrochloride
blood ph level,,blood
analysis of nasal resistance during breathing,nasal,nasal
mechanical chest wall manipulation for improvement in lung function,chest,wall lung
"arformoterol, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 15 micrograms",,dme
"anesthesia for procedure on nerves, muscles, tendons, fascia, and/or bursae of knee",anesthesia knee,nerves fascia bursae of
anesthesia for closed procedure on knee joint,anesthesia knee,
unlisted ambulance service,,
mri scan of leg joint with contrast,mri contrast,leg joint
closed treatment of broken wrist bone,,
removal of lesion at skull base,,skull
transplantation of stem cells from one cornea to other cornea,,stem cells cornea cornea
"vaccine for influenza for administration into muscle, 0.25 ml dosage",,vaccine muscle
inpatient or outpatient dialysis services,,
needle measurement and recording of electrical activity of middle spine muscles,needle spine,spine muscles
mra scan of head blood vessels with contrast,contrast,mra head blood vessels
analysis of data from ct study of heart blood vessels to assess severity of heart artery disease,artery ct heart,heart blood vessels heart artery
removal of recurring cataract in lens capsule,cataract,lens capsule
"repair of detached retina, 1 or more sessions",,retina
"injection, hyaluronidase, ovine, preservative free, per 1 usp unit (up to 999 usp units)",,hyaluronidase usp
detection test for adenovirus,,adenovirus
"partial removal of pancreas, bile duct and small bowel with connection of pancreas to small bowel",,pancreas bowel pancreas bowel
aspiration or injection of cerebrospinal fluid shunt tubing or reservoir,injection,cerebrospinal fluid
anesthesia for removal of urinary bladder,bladder anesthesia,urinary bladder
anesthesia for heart artery bypass grafting,artery anesthesia heart,heart artery
needle biopsy of salivary gland,needle biopsy,salivary gland
injection of substance to augment voice box using a flexible endoscope,injection,
repair of one side of voice box by moving vocal cord to middle,,cord
removal of eyeball with implant attached to muscles,,eyeball
creation of permanent eyelid margin scarring,,eyelid margin
destruction of tissue and reconstruction of right upper heart on heart-lung machine,heart,tissue right upper heart
"repair or nonroutine service for durable medical equipment other than oxygen equipment requiring the skill of a technician, labor component, per 15 minutes",,oxygen
preparation of tumor cavity and placement of radiation therapy applicator into breast for radiation therapy concurrent with partial breast removal,tumor breast,tumor cavity breast breast
biopsy of abdomen using an endoscope,abdomen biopsy,biopsy abdomen
"removal or revision of spinal neurostimulator electrodes, accessed through the skin",,spinal skin
insertion of amniotic membrane to eye surface with sutures,eye,amniotic membrane eye
repair of opening into cochlea,,cochlea
reshaping of (up to 5 centimeter diameter) skull bone defect,,
removal of lining of tendon covering of wrist,tendon,
"home dialysis services per month, patient 12-19 years of age",,patient
"woundex, bioskin, per square centimeter",,
removal of heel bone,,
incision of bladder with insertion of catheter or stent in urinary duct (ureter),incision bladder catheter,bladder urinary duct
heart surgery procedure,surgery heart,heart
needle stereotactic and image-guided biopsy of prostate gland,needle biopsy prostate,biopsy prostate gland
culture for identification of yeast,,
measurement of 14 or more drug classes in capillary blood,,capillary blood
"floweramnioflo, 0.1 cc",,
infectious agent drug susceptibility analysis,,
partial removal of chest bone,chest,
analysis for antibody to haemophilus influenza (respiratory bacteria),,
reattachment of nasal and eye socket ligament,eye ligament nasal,nasal eye socket ligament
"injection, adrenalin, epinephrine, 0.1 mg",,adrenalin epinephrine
x-ray of bone at base of skull,,bone
"dermal filler injection(s) for the treatment of facial lipodystrophy syndrome (lds) (e.g., as a result of highly active antiretroviral therapy)",,
"injection, sculptra, 0.5 mg",,
destruction or removal of ovary or pelvic growths using an endoscope,,ovary pelvic growths
dialysis procedure requiring repeat evaluation,,
placement of breast localization devices accessed through the skin with stereotactic guidance,breast,breast skin
shock wave therapy under anesthesia to sole of the foot using ultrasound guidance,anesthesia foot ultrasound,
ultrasonic guidance for administration of radiation therapy,,
injection of air or liquid into eye,eye injection,eye
repair of eardrum and ear canal with removal of mastoid bone,,eardrum ear canal mastoid bone
hla class i typing low resolution one locus,,hla class i
lipoprotein measurement,,
examination of cervical or vaginal slide for hormonal evaluation,cervical,cervical
removal of breast and underarm lymph nodes,breast,breast
"incision of achilles tendon, accessed through the skin requiring general anesthesia",incision anesthesia,skin
testing of lung function at high altitude,,lung
introduction of saline or x-ray contrast material for x-ray imaging of the uterus and tubes,uterus contrast,saline uterus
ultrasound of uterus,ultrasound uterus,uterus
"injection, trimethobenzamide hcl, up to 200 mg",,trimethobenzamide hcl
nuclear medicine single study of vessels of heart using drugs or exercise,heart,nuclear vessels heart
"destruction of malignant growth (3.1 to 4.0 centimeters) of scalp, neck, hands, feet, or genitals",,malignant growth scalp genitals
removal of foreign body or stone from tear passages,,stone
insertion of abdominal catheter through the skin using imaging guidance including radiological supervision and interpretation,catheter abdominal,abdominal catheter skin
removal and replacement of stent in kidney and urinary duct (ureter) using fluoroscopic guidance including radiological supervision and interpretation,,kidney urinary duct
"destruction of growths in one kidney, accessed through the skin",,kidney skin
change of tube or stent in urinary duct (ureter),tube,tube urinary duct
microscopic genetic analysis of muscle,,muscle
removal of defibrillator pulse generator,,
removal of nasal polyps,nasal,nasal polyps
removal of nasal sinus,nasal,nasal sinus
repair of heart valve between right chambers with insertion of prosthetic valve ring,heart,heart valve valve
anesthesia for procedure on veins of upper leg,anesthesia,veins
"dexamethasone, lacrimal ophthalmic insert, 0.1 mg",,dexamethasone lacrimal
